Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;;;;;;;;;;;;;;;
18.10.02;#041.F001;;DGM - Umring;Linie;;;;;;;;;;;;;;;;;
18.10.02;#041.F002;;DGM - Inring;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F001;;Böschungsoberkante, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F002;;Böschungsunterkante, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F005;;Zuordnungsstrich, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F006;;Geländer, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F007;;Straßengraben allgemein, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F008;;Weg < 1m , verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F009;;Wegseite unbefestigt, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F010;;Gehsteig an Straßen, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F011;;Geh und Radweg, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F012;;Radweg an Straßen, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F013;;Hochbord, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F014;;Tiefbord abgesenkter Bord, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F015;;Abweisende Schutzeinrichtung (einseitig), rechts, verdeckt;Linie;;;;;;;;;;;;;;;;;
18.10.02;#051.F016;2.3.2.4;Abweisende Schutzeinrichtung (zweiseitig) mittig, verdeckt;Linie
18.10.02;#051.F017;;Eisenbahn, verdeckt;Linie
18.10.02;#051.F018;;Wiederlager, Pfeiler;Linie
18.10.02;#051.F019;;Uferline fest, verdeckt;Linie
18.10.02;#051.F020;;veränderliche Uferlinie, verdeckt;Linie
18.10.02;#051.F021;;Graben, Bach < 1m, verdeckt;Linie
18.10.02;#051.F022;;Wasserlaufseite > 1 m, verdeckt;Linie
18.10.02;#051.F023;;Zaun, verdeckt;Linie
18.10.02;#051.F024;;Mauer mit topografischer Bedeutung rechts, verdeckt;Linie
18.10.02;#051.F025;;Mauer mit topografischer Bedeutung mittig, verdeckt;Linie
18.10.02;#051.F026;;Stützmauer Futtermauer, verdeckt;Linie
18.10.02;#061.F001;;DGM - Bruchkanten;Linie
18.10.02;#061.F002;;DGM - Bruchkanten, geschlossen;Linie
18.10.02;#061.F003;;DGM - Böschungsoberkante;Linie
18.10.02;#061.F004;;DGM - Böschungsunterkante;Linie
18.10.02;#061.F005;;DGM - Fahrbahnbegrenzung;Linie
18.10.02;#061.F006;;DGM - Straßengraben;Linie
18.10.02;#061.F007;;DGM - Uferlinie;Linie
18.10.02;#061.F008;;DGM - Uferlinie, veränderlich;Linie
18.10.02;#061.F009;;DGM - Bach unter 1m;Linie
18.10.02;#061.F010;;DGM - Wasserlaufseite > 1m;Linie
18.10.02;#061.F011;;DGM - Pfad;Linie
18.10.02;#061.F012;;DGM - Gehweg/Radweg an Straßen;Linie
