Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
01.04.2010;#000.8000;;Geländepunkt ;Punkt;0
01.04.2010;#000.8000;;Geländebruchkante;Linie;0
01.04.2010;#000.8001;;Trigonometrischer Punkt;Punkt;1
01.04.2010;#000.8002;;Aufnahmepunkt (amtl.);Punkt;2
01.04.2010;#000.8003;;Höhenfestpunkt (amtl.);Punkt;3
01.04.2010;#000.8004;;Querprofil Bezugspunkt, Paßpunkt ;Punkt;4
01.04.2010;#000.8004;;Querprofil (Profillinie);Linie;4
01.04.2010;#000.8005;;Festpunkt (SBV), Polygonpunkt;Punkt;5
01.04.2010;#000.8005;;Visierlinie Netz ;Linie;5
01.04.2010;#000.8006;;Höhenfestpunkt (SBV);Punkt;6
01.02.2011;#000.8006;;Niv. Schleifen;Linie;6
01.04.2010;#000.8007;;Böschung unten;Punkt;7
01.04.2010;#000.8007;;Böschung unten;Linie ;7
01.04.2010;#000.8008;;Böschung oben;Punkt;8
01.04.2010;#000.8008;;Böschung oben;Linie;8
01.04.2010;#000.8009;;geländeunabhängiger Punkt (für DGM);Punkt;9;;
01.02.2011;#000.8009;;geländeunabhängige Linie (DGM);Linie;9;;
01.04.2010;#000.8010;;Fahrbahnmitte / Achskleinpunkt;Punkt;10;;
01.04.2010;#000.8010;;Fahrbahnmitte / Achse (Linien zur Darstellung von Straßen in kleinmaßstäblichen Plänen);Linie;10;;
01.04.2010;#001.8000;;Querneigung 0 % in Achse;Punkt;100;;
01.04.2010;#001.8001;;Querneigungswechsel;Punkt;101;;
01.04.2010;#001.8001;;Autobahn;Linie;101;;
01.04.2010;#001.8002;;Querneigungsänderung;Punkt;102;;
01.04.2010;#001.8002;;Bundesstraße;Linie;102;;
01.04.2010;#001.8003;;Gradiente - Tangentenschnittpunkt;Punkt;103;;
01.04.2010;#001.8003;;Landesstraße;Linie;103;;
01.04.2010;#001.8004;;Gradiente - Ausrundung Anfang;Punkt;104;;
01.04.2010;#001.8004;;Kreisstraße;Linie;104;;
01.04.2010;#001.8005;;Gradiente - Ausrundung Ende;Punkt;105;;
01.04.2010;#001.8005;;sonstige Straßen;Linie;105;;
01.04.2010;#001.8006;;Gradiente - Hochpunkt;Punkt;106;;
01.04.2010;#001.8006;;Wege;Linie;106;;
01.04.2010;#001.8007;;Gradiente - Tiefpunkt;Punkt;107;;
01.04.2010;#001.8007;;Bestandsachse ASB;Linie;107;;
01.04.2010;#001.8008;;Sichtdreieck Standpunkt;Punkt;108;;
01.04.2010;#001.8008;;Fahrbahnachse ASB;Linie;108;;
01.04.2010;#001.8009;;Sichtdreieck Zielpunkt;Punkt;109;;
01.04.2010;#001.8009;;Sichtfeld (Begrenzungslinie);Linie;109;;
01.04.2010;#000.8011;;Fahrbahnrand;Punkt;11;;
01.04.2010;#000.8011;;Fahrbahnrand;Linie;11;;
01.04.2010;#001.8010;;Achskleinpunkt mit Abstand rechts;Punkt;110;;
01.04.2010;#001.8011;;Fahrbahnrand aus berechneten Koordinaten;Punkt;111;;
01.09.2011;#001.8011;;Fahrbahnrand (Betonbefestigung);Linie;111;;
01.04.2010;#001.8012;;Fahrbahnrand aus Digitalisierung / Konstruktion;Punkt;112;;
01.09.2011;#001.8012;;Fahrbahnrand (bituminöse Befestigung);Linie;112;;
01.07.2011;#001.8014;;Mittelstreifenüberfahrt;Punkt;114;;
01.04.2010;#001.8014;;Mittelstreifenüberfahrt;Linie;114;;
01.04.2010;#001.8015;;Beginn Verziehung Fahrbahnrand;Punkt;115;;
01.04.2010;#001.8016;;Ende Verziehung Fahrbahnrand;Punkt;116;;
01.04.2010;#001.8017;;Betonfuge in Fahrbahn;Punkt;117;;
01.04.2010;#001.8017;;Betonfuge in Fahrbahn;Linie;117;;
01.04.2010;#001.8018;;Fahrbahnrand (überdeckt);Linie;118;;
01.04.2010;#001.8019;;Achskleinpunkt mit Abstand links;Punkt;119;;
01.04.2010;#000.8012;;Fahrspurrand;Punkt;12;;
01.04.2010;#000.8012;;Fahrspurrand;Linie;12;;
01.04.2010;#001.8021;;Fahrspurrand aus berechneten Koordinaten;Punkt;121;;
01.04.2010;#001.8022;;Fahrspurrand aus Digitalisierung / Konstruktion;Punkt;122;;
01.04.2010;#001.8024;;Standspurrand;Punkt;124;;
01.04.2010;#001.8024;;Standspurrand;Linie;124;;
01.04.2010;#001.8025;;Beginn Verziehung Fahrspurrand;Punkt;125;;
01.04.2010;#001.8026;;Ende Verziehung Fahrspurrand;Punkt;126;;
01.04.2010;#000.8013;;Randstein unten;Punkt;13;;
